flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,delaySum_ns,jitterSum_ns,timeFirstTxPacket,timeLastRxPacket,throughput_kbps,source,destination,protocol,sourcePort,destinationPort
1179,264,264,5,5,0,203102000.0,510400.0,5.34903,5.51774,12.518522909134022,10.10.5.4,10.4.24.1,6,8002,49155
1180,264,264,5,5,0,203102000.0,510400.0,5.34908,5.51932,12.406015037594004,10.10.5.4,10.5.24.1,6,8002,49155
1181,264,264,5,5,0,203102000.0,510400.0,5.34912,5.51972,12.37983587338802,10.10.5.4,10.4.34.1,6,8001,49154
1182,264,264,5,5,0,203102000.0,510400.0,5.34917,5.5213,12.26979608435484,10.10.5.4,10.5.34.1,6,8001,49154
1183,264,264,5,5,0,203102000.0,510400.0,5.34922,5.52169,12.245607931814188,10.10.5.4,10.4.44.1,6,8000,49153
1184,264,264,5,5,0,203102000.0,510400.0,5.34926,5.51167,13.004125361738849,10.10.5.4,10.5.44.1,6,8000,49153
1185,264,264,5,5,0,203102000.0,510400.0,5.34931,5.51656,12.627802690582952,10.10.5.4,10.1.4.1,6,8004,49157
1186,264,264,5,5,0,203102000.0,510400.0,5.34936,5.51695,12.602183901187445,10.10.5.4,10.2.4.1,6,8004,49157
1187,264,264,5,5,0,203102000.0,510400.0,5.3494,5.51853,12.487435700348845,10.10.5.4,10.1.14.1,6,8003,49156
1188,264,264,5,5,0,203102000.0,510400.0,5.34945,5.51814,12.520007113640423,10.10.5.4,10.3.4.1,6,8004,49157
1189,264,264,5,5,0,203102000.0,510400.0,5.34949,5.51893,12.464589235127491,10.10.5.4,10.2.14.1,6,8003,49156
1190,264,264,5,5,0,203102000.0,510400.0,5.34954,5.52051,12.353044393753317,10.10.5.4,10.1.24.1,6,8002,49155
1191,264,264,5,5,0,203102000.0,510400.0,5.34959,5.52011,12.385643912737525,10.10.5.4,10.3.14.1,6,8003,49156
1192,264,264,5,5,0,203102000.0,510400.0,5.34963,5.5209,12.331406551059743,10.10.5.4,10.2.24.1,6,8002,49155
1193,264,264,5,5,0,203102000.0,510400.0,5.34968,5.52248,12.22222222222225,10.10.5.4,10.1.34.1,6,8001,49154
1194,264,264,5,5,0,203102000.0,510400.0,5.34973,5.52209,12.253423067997193,10.10.5.4,10.3.24.1,6,8002,49155
1195,264,264,5,5,0,203102000.0,510400.0,5.34977,5.51128,13.07658968484925,10.10.5.4,10.2.34.1,6,8001,49154
1196,264,264,5,5,0,203102000.0,510400.0,5.34982,5.51207,13.016949152542425,10.10.5.4,10.3.34.1,6,8001,49154
1197,264,264,5,5,0,203102000.0,510400.0,5.34987,5.51246,12.989728765606756,10.10.5.4,10.3.44.1,6,8000,49153
